Country,"Country Code","Time","Time Code","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","J.P. Morgan Emerging Markets Bond Index(EMBI+),,,, [EMBIGI]","J.P. Morgan Emerging Markets Bond Spread (EMBI+),,,, [EMBIG]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effecive Exchange Rate,,,, [NEER]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Albania,"ALB","2014M08","2014M08","NA","NA","NA","1.96002761589","110.57123352397","108.36120401338","104.61095238095","104.61095238095","NA","NA","177.62576075527","203.76423277156","NA","NA","NA","NA","NA","NA","389.46827289049","390.1117210782","426.35430597725","426.13042752533","1.09470869813","1.09470869813","NA","NA","NA","NA","6.77273861142","NA","104.61095238095","NA","NA","NA","NA","NA","2886.07","NA"
Albania,"ALB","2014M09","2014M09","NA","NA","NA","1.37578514239","110.45392840621","108.69565217391","108.57090909091","108.57090909091","NA","NA","196.40583447768","191.09608849019","NA","NA","NA","NA","NA","NA","399.530948257","395.96022889716","436.61852329437","430.32645094644","1.09277638097","1.09277638097","NA","NA","NA","NA","6.49367472962","NA","108.57090909091","NA","NA","NA","NA","NA","2794.4","NA"
Albania,"ALB","2014M10","2014M10","NA","NA","NA","1.4450112246","110.69062209455","108.80713489409","110.0152173913","110.0152173913","NA","NA","202.42081530223","192.88990487681","NA","NA","NA","NA","NA","NA","437.43140057456","395.74528023361","476.61942814235","433.02486528774","1.08958668151","1.08958668151","NA","NA","NA","NA","6.33238462687","NA","110.0152173913","NA","NA","NA","NA","NA","2742.08","NA"
Albania,"ALB","2014M11","2014M11","NA","NA","NA","1.72743352041","110.57535349888","108.47268673356","112.0465","112.0465","NA","NA","190.81417090226","189.10008523415","NA","NA","NA","NA","NA","NA","395.56146754887","378.25492345211","429.10729027681","411.56551677249","1.0848055877","1.0848055877","NA","NA","NA","NA","6.54386699139","NA","112.0465","NA","NA","NA","NA","NA","2693.23","NA"
Albania,"ALB","2014M12","2014M12","NA","NA","NA","0.80939054715","110.54513429759","109.36454849498","113.9","113.9","NA","NA","169.36101843723","177.09389286519","NA","NA","NA","NA","NA","NA","440.78385452494","372.80528155518","475.04767339772","407.66618806071","1.07773383376","1.07773383376","NA","NA","NA","NA","6.50581303447","NA","113.9","NA","NA","NA","NA","NA","2652.2","NA"
Albania,"ALB","2014Q1","2014Q1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","580.37929656349","635.48948605338","NA","NA","328695","3230.17384271973","343410","3349.38887013575","1043.34614807425","1225.89260002541","1137.85787930597","1334.0086171417","1.09028042583","1.09028042583","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","2014Q2","2014Q2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","690.56087183907","640.39201935978","NA","NA","329469","3237.7801481222","347245","3399.59419454504","1269.7846970459","1257.42418318779","1388.91921104123","1355.18017833475","1.09383461829","1.09383461829","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","2014Q3","2014Q3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","595.68523220458","593.46278412566","NA","NA","331221","3254.99752159136","351398","3330.29592862062","1206.48050229911","1170.90485421811","1319.20529849207","1292.41531761183","1.09343548591","1.09343548591","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","2014Q4","2014Q4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","562.59600464172","559.08388297615","NA","NA","336325","3305.15589726864","350477","3129.61550549335","1273.77672264836","1146.8054852409","1380.77439181687","1252.25657012094","1.08404203433","1.08404203433","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","2015","2015","NA","NA","NA","1.90726116378","112.45777477473","111.52917131178","125.88519215874","125.88519215874","NA","NA","1930.59792169773","1930.63329970641","NA","NA","1360131","13366.3718002167","1431518","11371.5605434492","4104.48363481229","4105.80124791772","4322.73114527611","4328.33123674973","1.05337775454","1.05337775454","NA","NA","NA","NA","0.72253481283","NA","125.88519215874","NA","NA","NA","NA","NA","3127.37","NA"
